Source,Target,Relation,Source_Type,Target_Type,Weight,Paper_Count,Paper_IDs,Years,Edge_Key
biosynthesis,saxitoxin,TOXIN_MECHANISM_RELATION,TOXIN,BIOLOGICAL_MECHANISM,47,41,P001;P002;P003;P004;P005;P007;P009;P013;P031;P067;P068;P070;P077;P078;P082;P084;P089;P095;P097;P098;P099;P115;P116;P117;P119;P120;P122;P124;P125;P126;P128;P131;P139;P142;P151;P166;P167;P169;P171;P214;P215,1999;2008;2009;2011;2013;2014;2015;2016;2018;2020;2021;2022;2023;2024;2025;2026,"('biosynthesis', 'saxitoxin')"
dinoflagellates,toxin production,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,46,46,P001;P005;P006;P007;P011;P013;P023;P038;P041;P043;P068;P069;P070;P071;P078;P080;P081;P086;P090;P092;P093;P094;P095;P096;P097;P098;P099;P101;P107;P108;P111;P114;P115;P118;P123;P133;P134;P139;P166;P168;P185;P188;P190;P214;P216;P220,1990;1994;1999;2000;2001;2003;2004;2006;2007;2011;2012;2013;2014;2015;2016;2020;2021;2022;2023;2024;2025;2026,"('dinoflagellates', 'toxin production')"
paralytic shellfish toxins,toxin profile,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,46,46,P024;P038;P039;P042;P044;P046;P050;P053;P054;P055;P056;P057;P058;P059;P061;P062;P063;P065;P068;P087;P090;P103;P106;P107;P111;P125;P134;P185;P186;P189;P191;P193;P197;P200;P201;P202;P203;P204;P205;P206;P208;P209;P210;P212;P217;P222,1996;2001;2003;2004;2005;2006;2007;2008;2010;2012;2014;2015;2016;2017;2018;2021;2022;2025,"('paralytic shellfish toxins', 'toxin profile')"
paralytic shellfish toxins,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,42,25,P001;P007;P038;P043;P068;P071;P080;P081;P083;P090;P095;P096;P101;P107;P111;P114;P133;P134;P139;P168;P185;P190;P214;P216;P241,2001;2004;2007;2009;2014;2015;2016;2020;2021;2022;2023;2024;2025;2026,"('paralytic shellfish toxins', 'toxin production')"
dinoflagellates,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,41,41,P001;P007;P012;P038;P043;P045;P054;P055;P057;P068;P071;P079;P090;P095;P103;P111;P125;P128;P129;P134;P138;P139;P140;P141;P147;P155;P167;P168;P175;P179;P180;P185;P190;P192;P201;P202;P204;P214;P216;P226;P232,2001;2004;2010;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025;2026,"('dinoflagellates', 'paralytic shellfish toxins')"
gymnodinium,gymnodinium catenatum,SEMANTIC_CO_OCCURS,SPECIES,TAXON_GROUP,41,41,P002;P007;P023;P037;P038;P048;P049;P055;P056;P057;P060;P061;P065;P066;P079;P081;P103;P106;P119;P120;P128;P129;P135;P137;P168;P178;P184;P185;P195;P196;P202;P203;P204;P207;P208;P212;P213;P222;P233;P234;P238,2003;2004;2005;2007;2008;2010;2011;2013;2014;2015;2016;2018;2021;2022;2023;2024;2025,"('gymnodinium', 'gymnodinium catenatum')"
gymnodinium,gymnodinium catenatum,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,41,41,P002;P007;P023;P037;P038;P048;P049;P055;P056;P057;P060;P061;P065;P066;P079;P081;P103;P106;P119;P120;P128;P129;P135;P137;P168;P178;P184;P185;P195;P196;P202;P203;P204;P207;P208;P212;P213;P222;P233;P234;P238,2003;2004;2005;2007;2008;2010;2011;2013;2014;2015;2016;2018;2021;2022;2023;2024;2025,"('gymnodinium', 'gymnodinium catenatum')"
alexandrium,toxin production,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,41,40,P005;P007;P011;P013;P023;P041;P043;P068;P069;P070;P071;P078;P080;P083;P090;P092;P093;P094;P095;P096;P097;P098;P099;P101;P107;P108;P110;P111;P114;P115;P123;P133;P134;P139;P168;P188;P190;P214;P216;P241,1990;1999;2000;2001;2003;2004;2006;2007;2009;2011;2012;2014;2015;2016;2020;2021;2022;2023;2024;2025;2026,"('alexandrium', 'toxin production')"
alexandrium,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,39,39,P007;P012;P020;P031;P042;P043;P045;P047;P054;P068;P071;P087;P090;P095;P100;P105;P111;P113;P114;P128;P134;P138;P139;P140;P141;P144;P155;P168;P180;P189;P190;P192;P194;P201;P214;P216;P217;P226;P232,2000;2001;2006;2010;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,"('alexandrium', 'paralytic shellfish toxins')"
dinoflagellates,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,38,38,P001;P002;P003;P006;P007;P008;P009;P010;P012;P015;P023;P024;P028;P055;P057;P067;P070;P084;P096;P098;P099;P115;P116;P117;P118;P119;P122;P127;P137;P159;P166;P167;P169;P171;P173;P180;P202;P204,2008;2009;2010;2011;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025;2026,"('dinoflagellates', 'saxitoxin')"
biosynthesis,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,BIOLOGICAL_MECHANISM,37,32,P001;P002;P003;P004;P005;P009;P010;P013;P031;P068;P070;P078;P082;P084;P089;P095;P097;P098;P099;P115;P117;P119;P120;P124;P128;P130;P139;P142;P151;P166;P171;P215,1999;2008;2013;2014;2015;2016;2018;2020;2021;2022;2023;2024;2025;2026,"('biosynthesis', 'saxitoxin biosynthesis')"
biosynthesis,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,37,32,P001;P002;P003;P004;P005;P009;P010;P013;P031;P068;P070;P078;P082;P084;P089;P095;P097;P098;P099;P115;P117;P119;P120;P124;P128;P130;P139;P142;P151;P166;P171;P215,1999;2008;2013;2014;2015;2016;2018;2020;2021;2022;2023;2024;2025;2026,"('biosynthesis', 'saxitoxin biosynthesis')"
alexandrium,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,36,36,P033;P042;P043;P045;P053;P054;P064;P068;P080;P089;P090;P095;P107;P111;P114;P128;P133;P134;P138;P139;P140;P141;P151;P157;P159;P160;P189;P190;P192;P200;P201;P211;P214;P230;P232;P241,2001;2004;2005;2006;2007;2009;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2025,"('alexandrium', 'paralytic shellfish toxins')"
paralytic shellfish poisoning,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,36,36,P025;P027;P028;P031;P036;P038;P047;P048;P050;P054;P057;P060;P081;P090;P100;P102;P103;P105;P144;P157;P167;P176;P179;P180;P185;P194;P195;P197;P201;P204;P207;P214;P216;P226;P227;P232,2003;2008;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,"('paralytic shellfish poisoning', 'paralytic shellfish toxins')"
cyanobacteria,dinoflagellates,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,35,35,P002;P003;P004;P005;P010;P021;P024;P033;P084;P099;P104;P115;P116;P117;P118;P120;P121;P122;P124;P125;P132;P134;P138;P140;P160;P166;P167;P171;P172;P173;P175;P176;P177;P179;P180,2008;2009;2010;2011;2013;2014;2016;2018;2020;2021;2022;2023;2024;2025;2026,"('cyanobacteria', 'dinoflagellates')"
alexandrium,toxin production,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,35,34,P007;P011;P043;P068;P069;P070;P071;P078;P080;P083;P090;P092;P093;P094;P095;P096;P097;P098;P099;P101;P107;P108;P110;P111;P114;P123;P133;P134;P139;P168;P190;P214;P216;P241,1999;2000;2001;2003;2004;2006;2007;2009;2012;2014;2015;2016;2020;2021;2022;2023;2024;2025;2026,"('alexandrium', 'toxin production')"
paralytic shellfish toxins,toxin content,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,35,17,P042;P047;P058;P067;P079;P087;P090;P103;P106;P111;P113;P189;P194;P205;P214;P216;P217,2000;2001;2006;2010;2014;2015;2016;2021;2022;2024;2026,"('paralytic shellfish toxins', 'toxin content')"
dinoflagellates,gymnodinium,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,34,34,P001;P002;P007;P023;P038;P048;P055;P057;P061;P066;P079;P081;P103;P104;P119;P120;P123;P128;P129;P135;P137;P168;P178;P180;P185;P195;P202;P204;P208;P213;P222;P233;P234;P238,2003;2004;2007;2010;2011;2012;2013;2014;2015;2016;2018;2020;2021;2022;2023;2024;2025;2026,"('dinoflagellates', 'gymnodinium')"
saxitoxin,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,34,34,P001;P005;P006;P007;P011;P013;P023;P041;P043;P068;P070;P078;P080;P083;P086;P095;P096;P097;P098;P099;P107;P111;P115;P118;P123;P133;P139;P166;P188;P190;P214;P216;P220;P241,1990;1994;1999;2001;2004;2007;2009;2011;2012;2013;2014;2015;2016;2020;2021;2023;2024;2025;2026,"('saxitoxin', 'toxin production')"
toxin composition,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,34,16,P038;P041;P042;P046;P053;P055;P087;P090;P110;P185;P188;P189;P193;P200;P202;P222,1990;1996;2003;2006;2010;2012;2015;2016;2022,"('toxin composition', 'toxin profile')"
alexandrium,toxin profile,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,33,33,P039;P041;P042;P044;P046;P053;P054;P058;P059;P063;P068;P077;P082;P087;P090;P093;P107;P110;P111;P134;P186;P188;P189;P191;P193;P200;P201;P205;P206;P210;P217;P221;P222,1990;1996;2000;2001;2003;2005;2006;2007;2008;2010;2012;2014;2015;2016;2017;2021;2022;2025,"('alexandrium', 'toxin profile')"
dinoflagellates,toxin profile,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,33,33,P024;P038;P041;P053;P054;P055;P057;P058;P059;P061;P068;P077;P082;P090;P093;P103;P107;P111;P125;P134;P178;P185;P188;P200;P201;P202;P204;P205;P206;P208;P217;P221;P222,1990;2000;2001;2003;2004;2005;2006;2007;2010;2015;2016;2017;2018;2021;2022;2025,"('dinoflagellates', 'toxin profile')"
paralytic shellfish toxins,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,32,32,P024;P038;P039;P042;P050;P054;P055;P056;P057;P061;P062;P065;P068;P087;P090;P103;P106;P111;P125;P134;P185;P186;P189;P197;P201;P202;P203;P204;P208;P209;P212;P217,2001;2004;2005;2006;2010;2012;2014;2015;2016;2017;2018;2021;2022;2025,"('paralytic shellfish toxins', 'toxin profile')"
saxitoxin,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,32,32,P001;P002;P003;P004;P005;P009;P010;P013;P031;P068;P070;P078;P082;P084;P089;P095;P097;P098;P099;P115;P117;P119;P120;P124;P128;P130;P139;P142;P151;P166;P171;P215,1999;2008;2013;2014;2015;2016;2018;2020;2021;2022;2023;2024;2025;2026,"('saxitoxin', 'saxitoxin biosynthesis')"
saxitoxin,saxitoxin biosynthesis,TOXIN_MECHANISM_RELATION,TOXIN,BIOLOGICAL_MECHANISM,32,32,P001;P002;P003;P004;P005;P009;P010;P013;P031;P068;P070;P078;P082;P084;P089;P095;P097;P098;P099;P115;P117;P119;P120;P124;P128;P130;P139;P142;P151;P166;P171;P215,1999;2008;2013;2014;2015;2016;2018;2020;2021;2022;2023;2024;2025;2026,"('saxitoxin', 'saxitoxin biosynthesis')"
alexandrium,biosynthesis,SEMANTIC_CO_OCCURS,TAXON_GROUP,BIOLOGICAL_MECHANISM,32,29,P003;P004;P005;P007;P009;P031;P068;P070;P074;P077;P082;P084;P089;P090;P095;P097;P098;P099;P115;P116;P128;P130;P139;P141;P142;P151;P169;P214;P215,2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,"('alexandrium', 'biosynthesis')"
dinoflagellates,temperature,SEMANTIC_CO_OCCURS,TAXON_GROUP,ENV_FACTOR,32,27,P003;P038;P040;P054;P068;P073;P077;P078;P079;P080;P082;P084;P085;P086;P093;P102;P104;P105;P146;P157;P169;P185;P187;P201;P221;P236;P237,1994;1999;2000;2005;2012;2015;2017;2019;2020;2021;2022;2023;2024;2025,"('dinoflagellates', 'temperature')"
saxitoxin,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,31,31,P024;P041;P042;P046;P053;P054;P055;P057;P058;P061;P063;P068;P077;P082;P087;P103;P106;P107;P111;P125;P188;P189;P193;P200;P201;P202;P204;P205;P208;P210;P222,1990;1996;2001;2003;2004;2006;2007;2008;2010;2014;2015;2017;2018;2021;2022;2025,"('saxitoxin', 'toxin profile')"
saxitoxin,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,31,31,P024;P041;P042;P046;P053;P054;P055;P057;P058;P061;P063;P068;P077;P082;P087;P103;P106;P107;P111;P125;P188;P189;P193;P200;P201;P202;P204;P205;P208;P210;P222,1990;1996;2001;2003;2004;2006;2007;2008;2010;2014;2015;2017;2018;2021;2022;2025,"('saxitoxin', 'toxin profile')"
alexandrium,alexandrium tamarense,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,31,30,P003;P004;P023;P033;P044;P046;P047;P064;P076;P087;P090;P092;P094;P100;P108;P109;P110;P111;P127;P138;P146;P151;P191;P193;P194;P211;P221;P236;P238;P241,1996;1999;2001;2003;2004;2005;2006;2009;2010;2011;2012;2013;2014;2015;2016;2017;2022;2023,"('alexandrium', 'alexandrium tamarense')"
alexandrium,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,30,30,P003;P016;P053;P054;P064;P074;P080;P084;P089;P090;P107;P116;P133;P142;P150;P157;P159;P160;P169;P200;P201;P211;P214;P215;P221;P230;P232;P236;P237;P241,2004;2005;2006;2007;2009;2012;2014;2015;2016;2017;2021;2022;2023;2024,"('alexandrium', 'paralytic shellfish poisoning')"
dinoflagellates,gymnodinium catenatum,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,30,30,P002;P007;P023;P038;P048;P055;P057;P061;P066;P079;P081;P103;P119;P120;P128;P129;P135;P137;P168;P178;P185;P195;P202;P204;P208;P213;P222;P233;P234;P238,2003;2004;2007;2010;2011;2013;2014;2015;2016;2018;2021;2022;2023;2024;2025,"('dinoflagellates', 'gymnodinium catenatum')"
gymnodinium,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,30,30,P001;P007;P038;P048;P049;P055;P056;P057;P060;P061;P065;P079;P081;P103;P106;P128;P129;P168;P180;P185;P195;P196;P202;P203;P204;P207;P208;P212;P222;P238,2003;2004;2005;2008;2010;2014;2015;2016;2018;2022;2023;2024;2025;2026,"('gymnodinium', 'paralytic shellfish toxins')"
alexandrium,alexandrium tamarense,SEMANTIC_CO_OCCURS,SPECIES,TAXON_GROUP,30,29,P004;P023;P033;P044;P046;P047;P064;P076;P087;P092;P094;P100;P108;P109;P110;P111;P121;P127;P135;P138;P146;P151;P191;P193;P194;P211;P221;P238;P241,1996;1999;2001;2003;2004;2005;2006;2009;2010;2011;2012;2013;2014;2015;2016;2021;2022,"('alexandrium', 'alexandrium tamarense')"
alexandrium,toxin profile,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,29,29,P041;P042;P044;P046;P053;P054;P058;P059;P068;P077;P082;P087;P090;P093;P107;P110;P111;P134;P188;P189;P191;P193;P200;P201;P205;P206;P217;P221;P222,1990;1996;2000;2001;2003;2005;2006;2007;2010;2012;2014;2015;2016;2017;2021;2022;2025,"('alexandrium', 'toxin profile')"
dinoflagellates,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,29,29,P001;P002;P003;P004;P005;P009;P010;P013;P068;P070;P078;P082;P084;P089;P095;P097;P098;P099;P115;P117;P119;P120;P124;P128;P139;P142;P166;P171;P215,1999;2008;2013;2014;2015;2016;2018;2020;2021;2022;2023;2024;2025;2026,"('dinoflagellates', 'saxitoxin biosynthesis')"
